,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized,particle
0,0.73 ± 0.03,0.70 ± 0.04,0.73 ± 0.06,0.70 ± 0.06,Cube
0,0.74 ± 0.04,0.73 ± 0.05,0.76 ± 0.02,0.75 ± 0.02,Stick
0,0.84 ± 0.03,0.70 ± 0.03,0.80 ± 0.08,0.64 ± 0.08,Sphere
0,0.72 ± 0.15,0.41 ± 0.06,0.74 ± 0.12,0.45 ± 0.10,Flat
0,0.80 ± 0.02,0.62 ± 0.07,0.80 ± 0.03,0.63 ± 0.06,Amorphous
0,0.87 ± 0.02,0.64 ± 0.09,0.84 ± 0.03,0.57 ± 0.05,Cube_s
0,0.70 ± 0.06,0.48 ± 0.07,0.66 ± 0.02,0.51 ± 0.07,Cube_m
0,0.71 ± 0.02,0.66 ± 0.04,0.68 ± 0.02,0.62 ± 0.02,Cube_l
0,0.71 ± 0.36,0.40 ± 0.21,0.68 ± 0.34,0.39 ± 0.20,Sphere_s
0,0.85 ± 0.04,0.53 ± 0.07,0.83 ± 0.07,0.53 ± 0.12,Sphere_m
0,0.66 ± 0.22,0.39 ± 0.09,0.63 ± 0.26,0.39 ± 0.15,Sphere_l
0,0.84 ± 0.01,0.50 ± 0.06,0.83 ± 0.03,0.56 ± 0.03,Stick_s
0,0.85 ± 0.04,0.58 ± 0.11,0.81 ± 0.05,0.57 ± 0.05,Stick_m
0,0.81 ± 0.04,0.66 ± 0.07,0.79 ± 0.04,0.62 ± 0.06,Stick_l
0,0.60 ± 0.20,0.37 ± 0.07,0.66 ± 0.20,0.39 ± 0.07,Flat_s
0,0.73 ± 0.17,0.42 ± 0.06,0.61 ± 0.32,0.39 ± 0.18,Flat_m
0,0.42 ± 0.36,0.25 ± 0.20,0.30 ± 0.39,0.22 ± 0.29,Flat_l
0,0.91 ± 0.06,0.60 ± 0.13,0.91 ± 0.07,0.61 ± 0.13,Amorphous_s
0,0.88 ± 0.04,0.51 ± 0.06,0.89 ± 0.03,0.58 ± 0.10,Amorphous_m
0,0.83 ± 0.17,0.59 ± 0.14,0.81 ± 0.08,0.49 ± 0.09,Amorphous_l
