,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized,particle
0,0.71 ± 0.03,0.68 ± 0.03,0.74 ± 0.06,0.71 ± 0.06,Cube
0,0.72 ± 0.05,0.70 ± 0.06,0.77 ± 0.02,0.76 ± 0.02,Stick
0,0.83 ± 0.03,0.67 ± 0.05,0.82 ± 0.06,0.66 ± 0.06,Sphere
0,0.74 ± 0.17,0.47 ± 0.11,0.70 ± 0.25,0.46 ± 0.15,Flat
0,0.76 ± 0.05,0.56 ± 0.08,0.78 ± 0.03,0.60 ± 0.05,Amorphous
0,0.82 ± 0.05,0.57 ± 0.08,0.85 ± 0.01,0.58 ± 0.07,Cube_s
0,0.63 ± 0.03,0.51 ± 0.03,0.64 ± 0.05,0.48 ± 0.05,Cube_m
0,0.69 ± 0.02,0.63 ± 0.01,0.67 ± 0.04,0.61 ± 0.02,Cube_l
0,0.70 ± 0.35,0.40 ± 0.21,0.70 ± 0.36,0.37 ± 0.19,Sphere_s
0,0.87 ± 0.02,0.56 ± 0.05,0.86 ± 0.04,0.55 ± 0.06,Sphere_m
0,0.68 ± 0.22,0.42 ± 0.11,0.72 ± 0.27,0.44 ± 0.16,Sphere_l
0,0.81 ± 0.03,0.51 ± 0.05,0.83 ± 0.03,0.52 ± 0.04,Stick_s
0,0.82 ± 0.05,0.59 ± 0.04,0.83 ± 0.06,0.61 ± 0.07,Stick_m
0,0.79 ± 0.04,0.64 ± 0.06,0.79 ± 0.04,0.64 ± 0.05,Stick_l
0,0.49 ± 0.22,0.31 ± 0.11,0.50 ± 0.22,0.32 ± 0.11,Flat_s
0,0.57 ± 0.14,0.36 ± 0.07,0.51 ± 0.23,0.32 ± 0.12,Flat_m
0,0.25 ± 0.31,0.16 ± 0.18,0.26 ± 0.22,0.18 ± 0.15,Flat_l
0,0.87 ± 0.14,0.60 ± 0.15,0.84 ± 0.15,0.54 ± 0.14,Amorphous_s
0,0.83 ± 0.05,0.49 ± 0.06,0.89 ± 0.04,0.58 ± 0.11,Amorphous_m
0,0.81 ± 0.16,0.54 ± 0.14,0.81 ± 0.12,0.50 ± 0.08,Amorphous_l
